Reference,Verses,Words,Wd/Vs,Time (150 WPM),Time (200 WPM),Time (250 WPM)
Proverbs 19,29,506,17.4,3m 22s,2m 31s,2m 1s
Proverbs 20,30,498,16.6,3m 19s,2m 29s,1m 59s
Proverbs 21,31,501,16.2,3m 20s,2m 30s,2m 0s
Proverbs 22,29,495,17.1,3m 18s,2m 28s,1m 58s
Proverbs 23,35,566,16.2,3m 46s,2m 49s,2m 15s
Proverbs 24,34,580,17.1,3m 52s,2m 54s,2m 19s
Proverbs 25,28,522,18.6,3m 28s,2m 36s,2m 5s
Proverbs 26,28,459,16.4,3m 3s,2m 17s,1m 50s
Proverbs 27,27,460,17.0,3m 4s,2m 18s,1m 50s
Proverbs 28,28,528,18.9,3m 31s,2m 38s,2m 6s
Proverbs 29,27,425,15.7,2m 50s,2m 7s,1m 42s
Proverbs 30,33,640,19.4,4m 16s,3m 12s,2m 33s
Proverbs 31,31,467,15.1,3m 6s,2m 20s,1m 52s
Ecclesiastes 1,18,380,21.1,2m 32s,1m 54s,1m 31s
Ecclesiastes 2,26,734,28.2,4m 53s,3m 40s,2m 56s
Ecclesiastes 3,22,517,23.5,3m 26s,2m 35s,2m 4s
Ecclesiastes 4,16,380,23.8,2m 32s,1m 54s,1m 31s
Ecclesiastes 5,20,533,26.6,3m 33s,2m 39s,2m 7s
Ecclesiastes 6,12,301,25.1,2m 0s,1m 30s,1m 12s
Ecclesiastes 7,29,617,21.3,4m 6s,3m 5s,2m 28s
Ecclesiastes 8,17,515,30.3,3m 26s,2m 34s,2m 3s
Ecclesiastes 9,18,555,30.8,3m 42s,2m 46s,2m 13s
Ecclesiastes 10,20,402,20.1,2m 40s,2m 0s,1m 36s
Ecclesiastes 11,10,273,27.3,1m 49s,1m 21s,1m 5s
Ecclesiastes 12,14,372,26.6,2m 28s,1m 51s,1m 29s
Song of Solomon 1,17,326,19.2,2m 10s,1m 37s,1m 18s
Song of Solomon 2,17,351,20.6,2m 20s,1m 45s,1m 24s
Song of Solomon 3,11,287,26.1,1m 54s,1m 26s,1m 8s
Song of Solomon 4,16,363,22.7,2m 25s,1m 48s,1m 27s
Song of Solomon 5,16,397,24.8,2m 38s,1m 59s,1m 35s
Song of Solomon 6,13,282,21.7,1m 52s,1m 24s,1m 7s
Song of Solomon 7,13,292,22.5,1m 56s,1m 27s,1m 10s
Song of Solomon 8,14,360,25.7,2m 24s,1m 48s,1m 26s
Isaiah 1,31,758,24.5,5m 3s,3m 47s,3m 1s
Isaiah 2,22,567,25.8,3m 46s,2m 50s,2m 16s
Isaiah 3,26,587,22.6,3m 54s,2m 56s,2m 20s
Isaiah 4,6,209,34.8,1m 23s,1m 2s,0m 50s
Isaiah 5,30,863,28.8,5m 45s,4m 18s,3m 27s
Isaiah 6,13,366,28.2,2m 26s,1m 49s,1m 27s
Isaiah 7,25,693,27.7,4m 37s,3m 27s,2m 46s
Isaiah 8,22,558,25.4,3m 43s,2m 47s,2m 13s
Isaiah 9,21,599,28.5,3m 59s,2m 59s,2m 23s
Isaiah 10,34,928,27.3,6m 11s,4m 38s,3m 42s
Isaiah 11,16,519,32.4,3m 27s,2m 35s,2m 4s
Isaiah 12,6,134,22.3,0m 53s,0m 40s,0m 32s
Isaiah 13,22,576,26.2,3m 50s,2m 52s,2m 18s
Isaiah 14,32,856,26.8,5m 42s,4m 16s,3m 25s
Isaiah 15,9,266,29.6,1m 46s,1m 19s,1m 3s
Isaiah 16,14,415,29.6,2m 46s,2m 4s,1m 39s
Isaiah 17,14,428,30.6,2m 51s,2m 8s,1m 42s
Isaiah 18,7,255,36.4,1m 42s,1m 16s,1m 1s
Isaiah 19,25,730,29.2,4m 52s,3m 39s,2m 55s
Isaiah 20,6,169,28.2,1m 7s,0m 50s,0m 40s
Isaiah 21,17,417,24.5,2m 46s,2m 5s,1m 40s
Isaiah 22,25,676,27.0,4m 30s,3m 22s,2m 42s
Isaiah 23,18,469,26.1,3m 7s,2m 20s,1m 52s
Isaiah 24,23,592,25.7,3m 56s,2m 57s,2m 22s
Isaiah 25,12,381,31.8,2m 32s,1m 54s,1m 31s
Isaiah 26,21,550,26.2,3m 40s,2m 45s,2m 12s
Isaiah 27,13,405,31.2,2m 42s,2m 1s,1m 37s
Isaiah 28,29,814,28.1,5m 25s,4m 4s,3m 15s
Isaiah 29,24,742,30.9,4m 56s,3m 42s,2m 58s
Isaiah 30,33,1059,32.1,7m 3s,5m 17s,4m 14s
Isaiah 31,9,322,35.8,2m 8s,1m 36s,1m 17s
Isaiah 32,20,436,21.8,2m 54s,2m 10s,1m 44s
Isaiah 33,24,585,24.4,3m 54s,2m 55s,2m 20s
Isaiah 34,17,522,30.7,3m 28s,2m 36s,2m 5s
Isaiah 35,10,277,27.7,1m 50s,1m 23s,1m 6s
Isaiah 36,22,690,31.4,4m 36s,3m 27s,2m 45s
Isaiah 37,38,1131,29.8,7m 32s,5m 39s,4m 31s
Isaiah 38,22,592,26.9,3m 56s,2m 57s,2m 22s
Isaiah 39,8,268,33.5,1m 47s,1m 20s,1m 4s
Isaiah 40,31,796,25.7,5m 18s,3m 58s,3m 11s
Isaiah 41,29,804,27.7,5m 21s,4m 1s,3m 12s
Isaiah 42,25,676,27.0,4m 30s,3m 22s,2m 42s
Isaiah 43,28,711,25.4,4m 44s,3m 33s,2m 50s
Isaiah 44,28,886,31.6,5m 54s,4m 25s,3m 32s
Isaiah 45,25,774,31.0,5m 9s,3m 52s,3m 5s
Isaiah 46,13,342,26.3,2m 16s,1m 42s,1m 22s
Isaiah 47,15,471,31.4,3m 8s,2m 21s,1m 53s
Isaiah 48,22,627,28.5,4m 10s,3m 8s,2m 30s
Isaiah 49,26,867,33.3,5m 46s,4m 20s,3m 28s
Isaiah 50,11,365,33.2,2m 26s,1m 49s,1m 27s
Isaiah 51,23,771,33.5,5m 8s,3m 51s,3m 5s
Isaiah 52,15,405,27.0,2m 42s,2m 1s,1m 37s
Isaiah 53,12,387,32.2,2m 34s,1m 56s,1m 32s
Isaiah 54,17,493,29.0,3m 17s,2m 27s,1m 58s
Isaiah 55,13,399,30.7,2m 39s,1m 59s,1m 35s
Isaiah 56,12,361,30.1,2m 24s,1m 48s,1m 26s
Isaiah 57,21,569,27.1,3m 47s,2m 50s,2m 16s
Isaiah 58,14,521,37.2,3m 28s,2m 36s,2m 5s
