Reference,Verses,Words,Wd/Vs,Time (150 WPM),Time (200 WPM),Time (250 WPM)
Ezekiel 13,23,708,30.8,4m 43s,3m 32s,2m 49s
Ezekiel 14,23,725,31.5,4m 50s,3m 37s,2m 54s
Ezekiel 15,8,202,25.2,1m 20s,1m 0s,0m 48s
Ezekiel 16,63,1693,26.9,11m 17s,8m 27s,6m 46s
Ezekiel 17,24,739,30.8,4m 55s,3m 41s,2m 57s
Ezekiel 18,32,855,26.7,5m 42s,4m 16s,3m 25s
Ezekiel 19,14,336,24.0,2m 14s,1m 40s,1m 20s
Ezekiel 20,49,1557,31.8,10m 22s,7m 47s,6m 13s
Ezekiel 21,32,875,27.3,5m 50s,4m 22s,3m 30s
Ezekiel 22,31,805,26.0,5m 22s,4m 1s,3m 13s
Ezekiel 23,49,1279,26.1,8m 31s,6m 23s,5m 6s
Ezekiel 24,27,735,27.2,4m 54s,3m 40s,2m 56s
Ezekiel 25,17,494,29.1,3m 17s,2m 28s,1m 58s
Ezekiel 26,21,673,32.0,4m 29s,3m 21s,2m 41s
Ezekiel 27,36,805,22.4,5m 22s,4m 1s,3m 13s
Ezekiel 28,26,774,29.8,5m 9s,3m 52s,3m 5s
Ezekiel 29,21,674,32.1,4m 29s,3m 22s,2m 41s
Ezekiel 30,26,728,28.0,4m 51s,3m 38s,2m 54s
Ezekiel 31,18,612,34.0,4m 4s,3m 3s,2m 26s
Ezekiel 32,32,1009,31.5,6m 43s,5m 2s,4m 2s
Ezekiel 33,33,1060,32.1,7m 4s,5m 18s,4m 14s
Ezekiel 34,31,922,29.7,6m 8s,4m 36s,3m 41s
Ezekiel 35,15,384,25.6,2m 33s,1m 55s,1m 32s
Ezekiel 36,38,1154,30.4,7m 41s,5m 46s,4m 36s
Ezekiel 37,28,847,30.2,5m 38s,4m 14s,3m 23s
Ezekiel 38,23,721,31.3,4m 48s,3m 36s,2m 53s
Ezekiel 39,29,895,30.9,5m 58s,4m 28s,3m 34s
Ezekiel 40,49,1453,29.7,9m 41s,7m 15s,5m 48s
Ezekiel 41,26,720,27.7,4m 48s,3m 36s,2m 52s
Ezekiel 42,20,520,26.0,3m 28s,2m 36s,2m 4s
Ezekiel 43,27,856,31.7,5m 42s,4m 16s,3m 25s
Ezekiel 44,31,955,30.8,6m 22s,4m 46s,3m 49s
Ezekiel 45,25,802,32.1,5m 20s,4m 0s,3m 12s
Ezekiel 46,24,858,35.8,5m 43s,4m 17s,3m 25s
Ezekiel 47,23,713,31.0,4m 45s,3m 33s,2m 51s
Ezekiel 48,35,940,26.9,6m 16s,4m 42s,3m 45s
Daniel 1,21,561,26.7,3m 44s,2m 48s,2m 14s
Daniel 2,49,1466,29.9,9m 46s,7m 19s,5m 51s
Daniel 3,30,935,31.2,6m 14s,4m 40s,3m 44s
Daniel 4,37,1289,34.8,8m 35s,6m 26s,5m 9s
Daniel 5,31,946,30.5,6m 18s,4m 43s,3m 47s
Daniel 6,28,885,31.6,5m 54s,4m 25s,3m 32s
Daniel 7,28,927,33.1,6m 10s,4m 38s,3m 42s
Daniel 8,27,845,31.3,5m 38s,4m 13s,3m 22s
Daniel 9,27,967,35.8,6m 26s,4m 50s,3m 52s
Daniel 10,21,611,29.1,4m 4s,3m 3s,2m 26s
Daniel 11,45,1453,32.3,9m 41s,7m 15s,5m 48s
Daniel 12,13,387,29.8,2m 34s,1m 56s,1m 32s
Hosea 1,11,346,31.5,2m 18s,1m 43s,1m 23s
Hosea 2,23,661,28.7,4m 24s,3m 18s,2m 38s
Hosea 3,5,145,29.0,0m 58s,0m 43s,0m 34s
Hosea 4,19,445,23.4,2m 58s,2m 13s,1m 46s
Hosea 5,15,351,23.4,2m 20s,1m 45s,1m 24s
Hosea 6,11,237,21.5,1m 34s,1m 11s,0m 56s
Hosea 7,16,368,23.0,2m 27s,1m 50s,1m 28s
Hosea 8,14,300,21.4,2m 0s,1m 30s,1m 12s
Hosea 9,17,461,27.1,3m 4s,2m 18s,1m 50s
Hosea 10,15,407,27.1,2m 42s,2m 2s,1m 37s
Hosea 11,12,318,26.5,2m 7s,1m 35s,1m 16s
Hosea 12,14,305,21.8,2m 2s,1m 31s,1m 13s
Hosea 13,16,405,25.3,2m 42s,2m 1s,1m 37s
Hosea 14,9,227,25.2,1m 30s,1m 8s,0m 54s
Joel 1,20,482,24.1,3m 12s,2m 24s,1m 55s
Joel 2,32,892,27.9,5m 56s,4m 27s,3m 34s
Joel 3,21,543,25.9,3m 37s,2m 42s,2m 10s
Amos 1,15,433,28.9,2m 53s,2m 9s,1m 43s
Amos 2,16,446,27.9,2m 58s,2m 13s,1m 47s
Amos 3,15,378,25.2,2m 31s,1m 53s,1m 30s
Amos 4,13,421,32.4,2m 48s,2m 6s,1m 41s
Amos 5,27,640,23.7,4m 16s,3m 12s,2m 33s
Amos 6,14,391,27.9,2m 36s,1m 57s,1m 33s
Amos 7,17,455,26.8,3m 2s,2m 16s,1m 49s
Amos 8,14,389,27.8,2m 35s,1m 56s,1m 33s
Amos 9,15,514,34.3,3m 25s,2m 34s,2m 3s
Obadiah 1,21,614,29.2,4m 5s,3m 4s,2m 27s
Jonah 1,17,518,30.5,3m 27s,2m 35s,2m 4s
Jonah 2,10,211,21.1,1m 24s,1m 3s,0m 50s
Jonah 3,10,254,25.4,1m 41s,1m 16s,1m 0s
Jonah 4,11,329,29.9,2m 11s,1m 38s,1m 18s
Micah 1,16,440,27.5,2m 56s,2m 12s,1m 45s
Micah 2,13,354,27.2,2m 21s,1m 46s,1m 24s
Micah 3,12,333,27.8,2m 13s,1m 39s,1m 19s
Micah 4,13,457,35.2,3m 2s,2m 17s,1m 49s
Micah 5,15,428,28.5,2m 51s,2m 8s,1m 42s
Micah 6,16,429,26.8,2m 51s,2m 8s,1m 42s
Micah 7,20,581,29.0,3m 52s,2m 54s,2m 19s
Nahum 1,15,366,24.4,2m 26s,1m 49s,1m 27s
Nahum 2,13,298,22.9,1m 59s,1m 29s,1m 11s
Nahum 3,19,447,23.5,2m 58s,2m 14s,1m 47s
Habakkuk 1,17,383,22.5,2m 33s,1m 54s,1m 31s
Habakkuk 2,20,535,26.8,3m 34s,2m 40s,2m 8s
Habakkuk 3,19,455,23.9,3m 2s,2m 16s,1m 49s
Zephaniah 1,18,530,29.4,3m 32s,2m 39s,2m 7s
Zephaniah 2,15,449,29.9,2m 59s,2m 14s,1m 47s
Zephaniah 3,20,594,29.7,3m 57s,2m 58s,2m 22s
Haggai 1,15,444,29.6,2m 57s,2m 13s,1m 46s
Haggai 2,23,651,28.3,4m 20s,3m 15s,2m 36s
Zechariah 1,21,582,27.7,3m 52s,2m 54s,2m 19s
Zechariah 2,13,306,23.5,2m 2s,1m 31s,1m 13s
Zechariah 3,10,290,29.0,1m 56s,1m 27s,1m 9s
Zechariah 4,14,352,25.1,2m 20s,1m 45s,1m 24s
Zechariah 5,11,315,28.6,2m 6s,1m 34s,1m 15s
Zechariah 6,15,384,25.6,2m 33s,1m 55s,1m 32s
Zechariah 7,14,340,24.3,2m 16s,1m 42s,1m 21s
Zechariah 8,23,671,29.2,4m 28s,3m 21s,2m 41s
Zechariah 9,17,514,30.2,3m 25s,2m 34s,2m 3s
Zechariah 10,12,387,32.2,2m 34s,1m 56s,1m 32s
Zechariah 11,17,475,27.9,3m 10s,2m 22s,1m 54s
Zechariah 12,14,454,32.4,3m 1s,2m 16s,1m 48s
Zechariah 13,9,302,33.6,2m 0s,1m 30s,1m 12s
Zechariah 14,21,711,33.9,4m 44s,3m 33s,2m 50s
Malachi 1,14,484,34.6,3m 13s,2m 25s,1m 56s
Malachi 2,17,543,31.9,3m 37s,2m 42s,2m 10s
Malachi 3,18,554,30.8,3m 41s,2m 46s,2m 12s
Malachi 4,6,171,28.5,1m 8s,0m 51s,0m 41s
Matthew 1,25,527,21.1,3m 30s,2m 38s,2m 6s
Matthew 2,23,591,25.7,3m 56s,2m 57s,2m 21s
Matthew 3,17,386,22.7,2m 34s,1m 55s,1m 32s
Matthew 4,25,528,21.1,3m 31s,2m 38s,2m 6s
Matthew 5,48,1031,21.5,6m 52s,5m 9s,4m 7s
Matthew 6,34,762,22.4,5m 4s,3m 48s,3m 2s
Matthew 7,29,621,21.4,4m 8s,3m 6s,2m 29s
Matthew 8,34,734,21.6,4m 53s,3m 40s,2m 56s
Matthew 9,38,807,21.2,5m 22s,4m 2s,3m 13s
Matthew 10,42,870,20.7,5m 48s,4m 21s,3m 28s
Matthew 11,30,660,22.0,4m 24s,3m 18s,2m 38s
Matthew 12,49,1099,22.4,7m 19s,5m 29s,4m 23s
Matthew 13,58,1364,23.5,9m 5s,6m 49s,5m 27s
Matthew 14,36,718,19.9,4m 47s,3m 35s,2m 52s
Matthew 15,39,752,19.3,5m 0s,3m 45s,3m 0s
Matthew 16,28,660,23.6,4m 24s,3m 18s,2m 38s
Matthew 17,26,595,22.9,3m 58s,2m 58s,2m 22s
Matthew 18,34,817,24.0,5m 26s,4m 5s,3m 16s
Matthew 19,30,667,22.2,4m 26s,3m 20s,2m 40s
Matthew 20,34,731,21.5,4m 52s,3m 39s,2m 55s
Matthew 21,46,1121,24.4,7m 28s,5m 36s,4m 29s
Matthew 22,46,813,17.7,5m 25s,4m 3s,3m 15s
Matthew 23,38,778,20.5,5m 11s,3m 53s,3m 6s
Matthew 24,51,1060,20.8,7m 4s,5m 18s,4m 14s
Matthew 25,46,968,21.0,6m 27s,4m 50s,3m 52s
Matthew 26,75,1602,21.4,10m 40s,8m 0s,6m 24s
Matthew 27,66,1346,20.4,8m 58s,6m 43s,5m 23s
Matthew 28,20,411,20.6,2m 44s,2m 3s,1m 38s
Mark 1,45,896,19.9,5m 58s,4m 28s,3m 35s
Mark 2,28,682,24.4,4m 32s,3m 24s,2m 43s
Mark 3,35,644,18.4,4m 17s,3m 13s,2m 34s
Mark 4,41,876,21.4,5m 50s,4m 22s,3m 30s
Mark 5,43,907,21.1,6m 2s,4m 32s,3m 37s
Mark 6,56,1235,22.1,8m 13s,6m 10s,4m 56s
Mark 7,36,736,20.4,4m 54s,3m 40s,2m 56s
Mark 8,38,840,22.1,5m 36s,4m 12s,3m 21s
Mark 9,48,1107,23.1,7m 22s,5m 32s,4m 25s
Mark 10,52,1164,22.4,7m 45s,5m 49s,4m 39s
Mark 11,32,722,22.6,4m 48s,3m 36s,2m 53s
Mark 12,44,1032,23.5,6m 52s,5m 9s,4m 7s
Mark 13,37,803,21.7,5m 21s,4m 0s,3m 12s
Mark 14,72,1569,21.8,10m 27s,7m 50s,6m 16s
Mark 15,46,916,19.9,6m 6s,4m 34s,3m 39s
Mark 16,20,467,23.4,3m 6s,2m 20s,1m 52s
Luke 1,80,1509,18.9,10m 3s,7m 32s,6m 2s
Luke 2,52,1066,20.5,7m 6s,5m 19s,4m 15s
Luke 3,38,858,22.6,5m 43s,4m 17s,3m 25s
Luke 4,44,1005,22.8,6m 42s,5m 1s,4m 1s
Luke 5,39,904,23.2,6m 1s,4m 31s,3m 36s
Luke 6,49,1176,24.0,7m 50s,5m 52s,4m 42s
Luke 7,50,1170,23.4,7m 48s,5m 51s,4m 40s
Luke 8,56,1405,25.1,9m 22s,7m 1s,5m 37s
Luke 9,62,1420,22.9,9m 28s,7m 6s,5m 40s
Luke 10,42,964,23.0,6m 25s,4m 49s,3m 51s
Luke 11,54,1227,22.7,8m 10s,6m 8s,4m 54s
Luke 12,59,1350,22.9,9m 0s,6m 45s,5m 24s
Luke 13,35,855,24.4,5m 42s,4m 16s,3m 25s
Luke 14,35,807,23.1,5m 22s,4m 2s,3m 13s
Luke 15,32,714,22.3,4m 45s,3m 34s,2m 51s
Luke 16,31,755,24.4,5m 2s,3m 46s,3m 1s
Luke 17,36,738,20.5,4m 55s,3m 41s,2m 57s
Luke 18,43,869,20.2,5m 47s,4m 20s,3m 28s
Luke 19,48,1011,21.1,6m 44s,5m 3s,4m 2s
Luke 20,47,917,19.5,6m 6s,4m 35s,3m 40s
Luke 21,38,789,20.8,5m 15s,3m 56s,3m 9s
Luke 22,71,1428,20.1,9m 31s,7m 8s,5m 42s
Luke 23,55,1063,19.3,7m 5s,5m 18s,4m 15s
Luke 24,53,1010,19.1,6m 44s,5m 3s,4m 2s
John 1,51,983,19.3,6m 33s,4m 54s,3m 55s
John 2,25,505,20.2,3m 22s,2m 31s,2m 1s
John 3,36,755,21.0,5m 2s,3m 46s,3m 1s
John 4,54,1074,19.9,7m 9s,5m 22s,4m 17s
John 5,46,987,21.5,6m 34s,4m 56s,3m 56s
John 6,71,1477,20.8,9m 50s,7m 23s,5m 54s
John 7,52,996,19.2,6m 38s,4m 58s,3m 59s
John 8,48,1090,22.7,7m 16s,5m 27s,4m 21s
John 9,41,847,20.7,5m 38s,4m 14s,3m 23s
John 10,42,828,19.7,5m 31s,4m 8s,3m 18s
John 11,57,1146,20.1,7m 38s,5m 43s,4m 35s
John 12,50,1089,21.8,7m 15s,5m 26s,4m 21s
John 13,38,843,22.2,5m 37s,4m 12s,3m 22s
John 14,31,732,23.6,4m 52s,3m 39s,2m 55s
John 15,27,612,22.7,4m 4s,3m 3s,2m 26s
John 16,33,802,24.3,5m 20s,4m 0s,3m 12s
John 17,26,627,24.1,4m 10s,3m 8s,2m 30s
John 18,40,962,24.0,6m 24s,4m 48s,3m 50s
John 19,42,1018,24.2,6m 47s,5m 5s,4m 4s
John 20,31,752,24.3,5m 0s,3m 45s,3m 0s
John 21,25,716,28.6,4m 46s,3m 34s,2m 51s
Acts 1,26,636,24.5,4m 14s,3m 10s,2m 32s
Acts 2,47,983,20.9,6m 33s,4m 54s,3m 55s
Acts 3,26,599,23.0,3m 59s,2m 59s,2m 23s
Acts 4,37,844,22.8,5m 37s,4m 13s,3m 22s
Acts 5,42,1001,23.8,6m 40s,5m 0s,4m 0s
Acts 6,15,364,24.3,2m 25s,1m 49s,1m 27s
Acts 7,60,1392,23.2,9m 16s,6m 57s,5m 34s
Acts 8,39,852,21.8,5m 40s,4m 15s,3m 24s
Acts 9,43,989,23.0,6m 35s,4m 56s,3m 57s
Acts 10,48,1040,21.7,6m 56s,5m 12s,4m 9s
Acts 11,30,625,20.8,4m 10s,3m 7s,2m 30s
Acts 12,25,653,26.1,4m 21s,3m 15s,2m 36s
Acts 13,52,1217,23.4,8m 6s,6m 5s,4m 52s
Acts 14,28,618,22.1,4m 7s,3m 5s,2m 28s
Acts 15,40,911,22.8,6m 4s,4m 33s,3m 38s
Acts 16,40,963,24.1,6m 25s,4m 48s,3m 51s
Acts 17,34,848,24.9,5m 39s,4m 14s,3m 23s
Acts 18,28,661,23.6,4m 24s,3m 18s,2m 38s
Acts 19,41,948,23.1,6m 19s,4m 44s,3m 47s
Acts 20,38,884,23.3,5m 53s,4m 25s,3m 32s
Acts 21,40,1032,25.8,6m 52s,5m 9s,4m 7s
Acts 22,30,760,25.3,5m 4s,3m 48s,3m 2s
Acts 23,35,882,25.2,5m 52s,4m 24s,3m 31s
Acts 24,26,594,22.8,3m 57s,2m 58s,2m 22s
Acts 25,27,733,27.1,4m 53s,3m 39s,2m 55s
Acts 26,32,799,25.0,5m 19s,3m 59s,3m 11s
Acts 27,44,1024,23.3,6m 49s,5m 7s,4m 5s
Acts 28,30,781,26.0,5m 12s,3m 54s,3m 7s
Romans 1,32,691,21.6,4m 36s,3m 27s,2m 45s
Romans 2,29,597,20.6,3m 58s,2m 59s,2m 23s
Romans 3,31,560,18.1,3m 44s,2m 48s,2m 14s
Romans 4,25,570,22.8,3m 48s,2m 51s,2m 16s
Romans 5,21,498,23.7,3m 19s,2m 29s,1m 59s
Romans 6,23,521,22.7,3m 28s,2m 36s,2m 5s
Romans 7,25,635,25.4,4m 14s,3m 10s,2m 32s
Romans 8,39,910,23.3,6m 4s,4m 33s,3m 38s
Romans 9,33,715,21.7,4m 46s,3m 34s,2m 51s
Romans 10,21,462,22.0,3m 4s,2m 18s,1m 50s
Romans 11,36,797,22.1,5m 18s,3m 59s,3m 11s
Romans 12,21,412,19.6,2m 44s,2m 3s,1m 38s
Romans 13,14,363,25.9,2m 25s,1m 48s,1m 27s
Romans 14,23,544,23.7,3m 37s,2m 43s,2m 10s
Romans 15,33,752,22.8,5m 0s,3m 45s,3m 0s
Romans 16,26,503,19.3,3m 21s,2m 30s,2m 0s
1 Corinthians 1,31,642,20.7,4m 16s,3m 12s,2m 34s
1 Corinthians 2,16,359,22.4,2m 23s,1m 47s,1m 26s
1 Corinthians 3,23,440,19.1,2m 56s,2m 12s,1m 45s
1 Corinthians 4,21,490,23.3,3m 16s,2m 27s,1m 57s
1 Corinthians 5,13,311,23.9,2m 4s,1m 33s,1m 14s
1 Corinthians 6,20,451,22.6,3m 0s,2m 15s,1m 48s
1 Corinthians 7,40,994,24.8,6m 37s,4m 58s,3m 58s
1 Corinthians 8,13,280,21.5,1m 52s,1m 24s,1m 7s
1 Corinthians 9,27,671,24.9,4m 28s,3m 21s,2m 41s
1 Corinthians 10,33,649,19.7,4m 19s,3m 14s,2m 35s
1 Corinthians 11,34,708,20.8,4m 43s,3m 32s,2m 49s
1 Corinthians 12,31,607,19.6,4m 2s,3m 2s,2m 25s
1 Corinthians 13,13,253,19.5,1m 41s,1m 15s,1m 0s
1 Corinthians 14,40,845,21.1,5m 38s,4m 13s,3m 22s
1 Corinthians 15,58,1178,20.3,7m 51s,5m 53s,4m 42s
1 Corinthians 16,24,436,18.2,2m 54s,2m 10s,1m 44s
2 Corinthians 1,24,605,25.2,4m 2s,3m 1s,2m 25s
2 Corinthians 2,17,387,22.8,2m 34s,1m 56s,1m 32s
2 Corinthians 3,18,390,21.7,2m 36s,1m 57s,1m 33s
2 Corinthians 4,18,415,23.1,2m 46s,2m 4s,1m 39s
2 Corinthians 5,21,489,23.3,3m 15s,2m 26s,1m 57s
2 Corinthians 6,18,340,18.9,2m 16s,1m 42s,1m 21s
2 Corinthians 7,16,438,27.4,2m 55s,2m 11s,1m 45s
2 Corinthians 8,24,568,23.7,3m 47s,2m 50s,2m 16s
2 Corinthians 9,15,368,24.5,2m 27s,1m 50s,1m 28s
2 Corinthians 10,18,412,22.9,2m 44s,2m 3s,1m 38s
2 Corinthians 11,33,722,21.9,4m 48s,3m 36s,2m 53s
2 Corinthians 12,21,606,28.9,4m 2s,3m 1s,2m 25s
2 Corinthians 13,14,337,24.1,2m 14s,1m 41s,1m 20s
Galatians 1,24,480,20.0,3m 12s,2m 24s,1m 55s
Galatians 2,21,572,27.2,3m 48s,2m 51s,2m 17s
Galatians 3,29,623,21.5,4m 9s,3m 6s,2m 29s
Galatians 4,31,644,20.8,4m 17s,3m 13s,2m 34s
Galatians 5,26,444,17.1,2m 57s,2m 13s,1m 46s
Galatians 6,18,370,20.6,2m 28s,1m 51s,1m 28s
Ephesians 1,23,483,21.0,3m 13s,2m 24s,1m 55s
Ephesians 2,22,456,20.7,3m 2s,2m 16s,1m 49s
Ephesians 3,21,408,19.4,2m 43s,2m 2s,1m 37s
Ephesians 4,32,623,19.5,4m 9s,3m 6s,2m 29s
Ephesians 5,33,560,17.0,3m 44s,2m 48s,2m 14s
Ephesians 6,24,484,20.2,3m 13s,2m 25s,1m 56s
Philippians 1,30,650,21.7,4m 20s,3m 15s,2m 36s
Philippians 2,30,589,19.6,3m 55s,2m 56s,2m 21s
Philippians 3,21,470,22.4,3m 8s,2m 21s,1m 52s
Philippians 4,23,451,19.6,3m 0s,2m 15s,1m 48s
Colossians 1,29,625,21.6,4m 10s,3m 7s,2m 30s
Colossians 2,23,507,22.0,3m 22s,2m 32s,2m 1s
Colossians 3,25,442,17.7,2m 56s,2m 12s,1m 46s
Colossians 4,18,376,20.9,2m 30s,1m 52s,1m 30s
1 Thessalonians 1,10,242,24.2,1m 36s,1m 12s,0m 58s
1 Thessalonians 2,20,486,24.3,3m 14s,2m 25s,1m 56s
1 Thessalonians 3,13,305,23.5,2m 2s,1m 31s,1m 13s
1 Thessalonians 4,18,402,22.3,2m 40s,2m 0s,1m 36s
1 Thessalonians 5,28,419,15.0,2m 47s,2m 5s,1m 40s
2 Thessalonians 1,12,298,24.8,1m 59s,1m 29s,1m 11s
2 Thessalonians 2,17,394,23.2,2m 37s,1m 58s,1m 34s
2 Thessalonians 3,18,373,20.7,2m 29s,1m 51s,1m 29s
1 Timothy 1,20,436,21.8,2m 54s,2m 10s,1m 44s
1 Timothy 2,15,256,17.1,1m 42s,1m 16s,1m 1s
1 Timothy 3,16,317,19.8,2m 6s,1m 35s,1m 16s
1 Timothy 4,16,311,19.4,2m 4s,1m 33s,1m 14s
1 Timothy 5,25,500,20.0,3m 20s,2m 30s,2m 0s
1 Timothy 6,21,494,23.5,3m 17s,2m 28s,1m 58s
2 Timothy 1,18,415,23.1,2m 46s,2m 4s,1m 39s
2 Timothy 2,26,501,19.3,3m 20s,2m 30s,2m 0s
2 Timothy 3,17,309,18.2,2m 3s,1m 32s,1m 14s
2 Timothy 4,22,422,19.2,2m 48s,2m 6s,1m 41s
Titus 1,16,347,21.7,2m 18s,1m 44s,1m 23s
Titus 2,15,264,17.6,1m 45s,1m 19s,1m 3s
Titus 3,15,317,21.1,2m 6s,1m 35s,1m 16s
Philemon 1,25,461,18.4,3m 4s,2m 18s,1m 50s
Hebrews 1,14,331,23.6,2m 12s,1m 39s,1m 19s
Hebrews 2,18,441,24.5,2m 56s,2m 12s,1m 45s
Hebrews 3,19,373,19.6,2m 29s,1m 51s,1m 29s
Hebrews 4,16,392,24.5,2m 36s,1m 57s,1m 34s
Hebrews 5,14,299,21.4,1m 59s,1m 29s,1m 11s
Hebrews 6,20,441,22.0,2m 56s,2m 12s,1m 45s
Hebrews 7,28,631,22.5,4m 12s,3m 9s,2m 31s
Hebrews 8,13,392,30.2,2m 36s,1m 57s,1m 34s
Hebrews 9,28,715,25.5,4m 46s,3m 34s,2m 51s
Hebrews 10,39,791,20.3,5m 16s,3m 57s,3m 9s
Hebrews 11,40,913,22.8,6m 5s,4m 33s,3m 39s
Hebrews 12,29,696,24.0,4m 38s,3m 28s,2m 47s
Hebrews 13,25,520,20.8,3m 28s,2m 36s,2m 4s
James 1,27,543,20.1,3m 37s,2m 42s,2m 10s
James 2,26,542,20.8,3m 36s,2m 42s,2m 10s
James 3,18,387,21.5,2m 34s,1m 56s,1m 32s
James 4,17,380,22.4,2m 32s,1m 54s,1m 31s
James 5,20,479,24.0,3m 11s,2m 23s,1m 54s
1 Peter 1,25,587,23.5,3m 54s,2m 56s,2m 20s
1 Peter 2,25,555,22.2,3m 42s,2m 46s,2m 13s
1 Peter 3,22,539,24.5,3m 35s,2m 41s,2m 9s
1 Peter 4,19,431,22.7,2m 52s,2m 9s,1m 43s
1 Peter 5,14,293,20.9,1m 57s,1m 27s,1m 10s
2 Peter 1,21,497,23.7,3m 18s,2m 29s,1m 59s
2 Peter 2,22,563,25.6,3m 45s,2m 48s,2m 15s
2 Peter 3,18,489,27.2,3m 15s,2m 26s,1m 57s
1 John 1,10,247,24.7,1m 38s,1m 14s,0m 59s
1 John 2,29,732,25.2,4m 52s,3m 39s,2m 55s
1 John 3,24,547,22.8,3m 38s,2m 44s,2m 11s
1 John 4,21,482,23.0,3m 12s,2m 24s,1m 55s
1 John 5,21,499,23.8,3m 19s,2m 29s,1m 59s
2 John 1,13,302,23.2,2m 0s,1m 30s,1m 12s
3 John 1,15,303,20.2,2m 1s,1m 30s,1m 12s
Jude 1,25,610,24.4,4m 4s,3m 3s,2m 26s
Revelation 1,20,556,27.8,3m 42s,2m 46s,2m 13s
Revelation 2,29,800,27.6,5m 20s,4m 0s,3m 12s
Revelation 3,22,652,29.6,4m 20s,3m 15s,2m 36s
Revelation 4,11,336,30.5,2m 14s,1m 40s,1m 20s
Revelation 5,14,406,29.0,2m 42s,2m 1s,1m 37s
Revelation 6,17,489,28.8,3m 15s,2m 26s,1m 57s
Revelation 7,17,453,26.6,3m 1s,2m 15s,1m 48s
Revelation 8,13,387,29.8,2m 34s,1m 56s,1m 32s
Revelation 9,21,538,25.6,3m 35s,2m 41s,2m 9s
Revelation 10,11,331,30.1,2m 12s,1m 39s,1m 19s
Revelation 11,19,554,29.2,3m 41s,2m 46s,2m 12s
Revelation 12,17,514,30.2,3m 25s,2m 34s,2m 3s
Revelation 13,18,506,28.1,3m 22s,2m 31s,2m 1s
Revelation 14,20,627,31.4,4m 10s,3m 8s,2m 30s
Revelation 15,8,239,29.9,1m 35s,1m 11s,0m 57s
Revelation 16,21,534,25.4,3m 33s,2m 40s,2m 8s
Revelation 17,18,528,29.3,3m 31s,2m 38s,2m 6s
Revelation 18,24,713,29.7,4m 45s,3m 33s,2m 51s
Revelation 19,21,633,30.1,4m 13s,3m 9s,2m 31s
Revelation 20,15,493,32.9,3m 17s,2m 27s,1m 58s
Revelation 21,27,688,25.5,4m 35s,3m 26s,2m 45s
Revelation 22,21,549,26.1,3m 39s,2m 44s,2m 11s
