Reference,Verses,Words,Wd/Vs,Time (150 WPM),Time (200 WPM),Time (250 WPM)
Judges 19,30,1052,35.1,7m 0s,5m 15s,4m 12s
Judges 20,48,1372,28.6,9m 8s,6m 51s,5m 29s
Judges 21,25,702,28.1,4m 40s,3m 30s,2m 48s
Ruth 1,22,619,28.1,4m 7s,3m 5s,2m 28s
Ruth 2,23,721,31.3,4m 48s,3m 36s,2m 53s
Ruth 3,18,473,26.3,3m 9s,2m 21s,1m 53s
Ruth 4,22,624,28.4,4m 9s,3m 7s,2m 29s
1 Samuel 1,28,758,27.1,5m 3s,3m 47s,3m 1s
1 Samuel 2,36,1113,30.9,7m 25s,5m 33s,4m 27s
1 Samuel 3,21,527,25.1,3m 30s,2m 38s,2m 6s
1 Samuel 4,22,696,31.6,4m 38s,3m 28s,2m 47s
1 Samuel 5,12,427,35.6,2m 50s,2m 8s,1m 42s
1 Samuel 6,21,735,35.0,4m 54s,3m 40s,2m 56s
1 Samuel 7,17,509,29.9,3m 23s,2m 32s,2m 2s
1 Samuel 8,22,527,24.0,3m 30s,2m 38s,2m 6s
1 Samuel 9,27,940,34.8,6m 16s,4m 42s,3m 45s
1 Samuel 10,27,848,31.4,5m 39s,4m 14s,3m 23s
1 Samuel 11,15,482,32.1,3m 12s,2m 24s,1m 55s
1 Samuel 12,25,781,31.2,5m 12s,3m 54s,3m 7s
1 Samuel 13,23,683,29.7,4m 33s,3m 24s,2m 43s
1 Samuel 14,52,1582,30.4,10m 32s,7m 54s,6m 19s
1 Samuel 15,35,953,27.2,6m 21s,4m 45s,3m 48s
1 Samuel 16,23,654,28.4,4m 21s,3m 16s,2m 36s
1 Samuel 17,58,1661,28.6,11m 4s,8m 18s,6m 38s
1 Samuel 18,30,794,26.5,5m 17s,3m 58s,3m 10s
1 Samuel 19,24,674,28.1,4m 29s,3m 22s,2m 41s
1 Samuel 20,42,1217,29.0,8m 6s,6m 5s,4m 52s
1 Samuel 21,15,483,32.2,3m 13s,2m 24s,1m 55s
1 Samuel 22,23,737,32.0,4m 54s,3m 41s,2m 56s
1 Samuel 23,29,801,27.6,5m 20s,4m 0s,3m 12s
1 Samuel 24,22,646,29.4,4m 18s,3m 13s,2m 35s
1 Samuel 25,44,1343,30.5,8m 57s,6m 42s,5m 22s
1 Samuel 26,25,830,33.2,5m 32s,4m 9s,3m 19s
1 Samuel 27,12,380,31.7,2m 32s,1m 54s,1m 31s
1 Samuel 28,25,780,31.2,5m 12s,3m 54s,3m 7s
1 Samuel 29,11,422,38.4,2m 48s,2m 6s,1m 41s
1 Samuel 30,31,846,27.3,5m 38s,4m 13s,3m 23s
1 Samuel 31,13,339,26.1,2m 15s,1m 41s,1m 21s
2 Samuel 1,27,675,25.0,4m 30s,3m 22s,2m 42s
2 Samuel 2,32,865,27.0,5m 46s,4m 19s,3m 27s
2 Samuel 3,39,1119,28.7,7m 27s,5m 35s,4m 28s
2 Samuel 4,12,414,34.5,2m 45s,2m 4s,1m 39s
2 Samuel 5,25,597,23.9,3m 58s,2m 59s,2m 23s
2 Samuel 6,23,671,29.2,4m 28s,3m 21s,2m 41s
2 Samuel 7,29,827,28.5,5m 30s,4m 8s,3m 18s
2 Samuel 8,18,420,23.3,2m 48s,2m 6s,1m 40s
2 Samuel 9,13,392,30.2,2m 36s,1m 57s,1m 34s
2 Samuel 10,19,575,30.3,3m 50s,2m 52s,2m 18s
2 Samuel 11,27,771,28.6,5m 8s,3m 51s,3m 5s
2 Samuel 12,31,975,31.5,6m 30s,4m 52s,3m 54s
2 Samuel 13,39,1106,28.4,7m 22s,5m 31s,4m 25s
2 Samuel 14,33,1077,32.6,7m 10s,5m 23s,4m 18s
2 Samuel 15,37,1051,28.4,7m 0s,5m 15s,4m 12s
2 Samuel 16,23,702,30.5,4m 40s,3m 30s,2m 48s
2 Samuel 17,29,892,30.8,5m 56s,4m 27s,3m 34s
2 Samuel 18,33,1084,32.8,7m 13s,5m 25s,4m 20s
2 Samuel 19,43,1421,33.0,9m 28s,7m 6s,5m 41s
2 Samuel 20,26,816,31.4,5m 26s,4m 4s,3m 15s
2 Samuel 21,22,772,35.1,5m 8s,3m 51s,3m 5s
2 Samuel 22,51,878,17.2,5m 51s,4m 23s,3m 30s
2 Samuel 23,39,851,21.8,5m 40s,4m 15s,3m 24s
2 Samuel 24,25,844,33.8,5m 37s,4m 13s,3m 22s
1 Kings 1,53,1447,27.3,9m 38s,7m 14s,5m 47s
1 Kings 2,46,1437,31.2,9m 34s,7m 11s,5m 44s
1 Kings 3,28,822,29.4,5m 28s,4m 6s,3m 17s
1 Kings 4,34,661,19.4,4m 24s,3m 18s,2m 38s
1 Kings 5,18,499,27.7,3m 19s,2m 29s,1m 59s
1 Kings 6,38,976,25.7,6m 30s,4m 52s,3m 54s
1 Kings 7,51,1397,27.4,9m 18s,6m 59s,5m 35s
1 Kings 8,66,2045,31.0,13m 38s,10m 13s,8m 10s
1 Kings 9,28,787,28.1,5m 14s,3m 56s,3m 8s
1 Kings 10,29,799,27.6,5m 19s,3m 59s,3m 11s
1 Kings 11,43,1237,28.8,8m 14s,6m 11s,4m 56s
1 Kings 12,33,995,30.2,6m 38s,4m 58s,3m 58s
1 Kings 13,34,1093,32.1,7m 17s,5m 27s,4m 22s
1 Kings 14,31,934,30.1,6m 13s,4m 40s,3m 44s
1 Kings 15,34,946,27.8,6m 18s,4m 43s,3m 47s
1 Kings 16,34,1015,29.9,6m 46s,5m 4s,4m 3s
1 Kings 17,24,653,27.2,4m 21s,3m 15s,2m 36s
1 Kings 18,46,1354,29.4,9m 1s,6m 46s,5m 24s
1 Kings 19,21,730,34.8,4m 52s,3m 39s,2m 55s
1 Kings 20,43,1372,31.9,9m 8s,6m 51s,5m 29s
1 Kings 21,29,856,29.5,5m 42s,4m 16s,3m 25s
1 Kings 22,53,1465,27.6,9m 46s,7m 19s,5m 51s
2 Kings 1,18,634,35.2,4m 13s,3m 10s,2m 32s
2 Kings 2,25,835,33.4,5m 34s,4m 10s,3m 20s
2 Kings 3,27,810,30.0,5m 24s,4m 3s,3m 14s
2 Kings 4,44,1295,29.4,8m 38s,6m 28s,5m 10s
2 Kings 5,27,932,34.5,6m 12s,4m 39s,3m 43s
2 Kings 6,33,1004,30.4,6m 41s,5m 1s,4m 0s
